year,Manufacturing(%),Construction(%),Utilities(%),Wholesale Trade(%),Transportation(%),Accommodation&Food(%),Information(%),Finance(%),Business Services(%),Other Goods&Services(%),Total GDP (%)
1989,23.75,4.62,2.01,12.06,11.17,4.56,1.58,9.74,16.57,13.94,100.0
1990,23.72,4.53,1.98,12.26,11.06,4.28,1.64,10.78,16.03,13.72,100.0
1991,23.35,4.99,1.97,12.62,10.98,4.01,1.74,10.67,16.04,13.63,100.0
1992,22.36,5.51,1.92,11.71,10.74,4.11,1.89,11.72,16.5,13.53,100.0
1993,22.09,5.4,1.85,12.91,10.54,3.93,1.98,12.52,15.69,13.09,100.0
1994,22.37,5.93,1.83,13.31,10.24,3.69,2.03,12.09,15.6,12.91,100.0
1995,22.98,5.99,1.82,13.94,10.41,3.62,2.21,11.04,15.12,12.87,100.0
1996,21.88,6.67,1.84,13.47,10.24,3.57,2.29,11.82,15.21,13.01,100.0
1997,21.02,6.94,1.87,13.29,9.99,3.5,2.55,12.55,15.32,12.96,100.0
1998,21.32,7.24,2.01,12.47,10.62,3.32,2.95,10.23,16.15,13.69,100.0
1999,22.9,6.14,1.99,12.74,10.79,3.32,3.25,9.76,15.45,13.66,100.0
2000,24.21,5.48,1.97,13.96,10.27,3.3,3.47,8.8,14.83,13.71,100.0
2001,21.5,5.51,2.11,13.92,10.25,3.27,4.02,9.75,14.83,14.83,100.0
2002,22.43,4.6,2.16,14.27,10.39,3.0,4.07,8.98,15.09,15.01,100.0
2003,22.19,4.04,2.17,15.43,9.84,2.61,4.21,10.05,14.84,14.61,100.0
2004,23.03,3.5,2.05,16.51,10.03,2.62,4.17,9.73,14.54,13.81,100.0
2005,23.46,3.28,1.94,16.89,9.98,2.65,4.1,9.58,14.76,13.36,100.0
2006,24.11,3.25,1.91,17.25,9.59,2.58,3.93,10.02,14.42,12.95,100.0
2007,23.44,3.6,1.82,16.96,9.63,2.48,3.83,10.81,15.19,12.23,100.0
2008,21.72,4.36,1.79,16.99,9.74,2.45,3.95,10.8,16.03,12.18,100.0
2009,20.78,5.32,1.82,16.3,8.87,2.34,4.19,10.88,16.64,12.86,100.0
2010,23.41,4.94,1.71,16.49,8.17,2.34,3.9,10.66,15.72,12.67,100.0
2011,23.62,4.78,1.63,16.56,8.14,2.45,3.91,10.71,15.78,12.41,100.0
2012,22.71,5.08,1.6,16.98,8.19,2.43,4.05,10.9,15.82,12.25,100.0
2013,21.94,4.95,1.55,17.11,8.03,2.39,4.12,12.18,15.84,11.88,100.0
2014,21.64,5.17,1.53,17.04,7.85,2.35,4.25,12.77,15.62,11.77,100.0
2015,20.1,5.36,1.53,17.21,7.88,2.3,4.14,13.09,16.56,11.83,100.0
2016,20.39,5.19,1.52,16.81,7.83,2.32,4.24,12.86,16.83,12.01,100.0
2017,21.73,4.43,1.46,16.39,7.89,2.28,4.3,13.22,16.37,11.91,100.0
2018,22.48,4.13,1.4,16.12,7.73,2.27,4.38,13.52,16.27,11.7,100.0
