year,Manufacturing,Construction,Utilities,Wholesale Trade,Transportation,Accommodation&Food,Information,Finance,Business Services,Other Goods&Services,Total GDP
1989,18491.3,3596.1,1563.6,9392.8,8695.9,3551.9,1230.4,7580.5,12899.3,10857.0,77858.79999999999
1990,20247.4,3868.8,1691.3,10466.1,9440.1,3651.8,1402.6,9201.4,13682.9,11707.9,85360.29999999999
1991,21349.2,4565.1,1801.3,11541.8,10036.3,3668.0,1590.6,9752.2,14661.3,12462.4,91428.2
1992,21839.3,5376.8,1876.4,11435.2,10492.4,4015.1,1847.5,11450.1,16113.9,13211.1,97657.79999999999
1993,23950.4,5855.4,2002.4,14003.0,11432.2,4257.6,2147.5,13574.4,17013.7,14197.0,108433.6
1994,26990.3,7152.4,2210.2,16064.8,12355.8,4452.9,2446.4,14587.0,18827.5,15578.9,120666.19999999998
1995,29700.2,7741.1,2354.7,18014.2,13448.9,4678.8,2850.4,14273.1,19547.6,16633.1,129242.1
1996,30522.9,9304.1,2573.0,18797.2,14282.6,4973.5,3198.5,16494.9,21214.1,18145.1,139505.9
1997,31835.1,10517.3,2826.5,20138.0,15131.2,5302.6,3866.1,19017.5,23208.9,19634.5,151477.69999999998
1998,31603.2,10728.7,2983.9,18493.2,15742.5,4923.7,4376.9,15170.4,23943.2,20294.3,148260.0
1999,35721.4,9573.1,3107.3,19884.0,16834.6,5177.4,5071.1,15221.6,24110.1,21313.7,156014.30000000002
2000,41131.9,9308.2,3344.8,23713.9,17439.1,5612.6,5895.6,14947.1,25197.7,23291.2,169882.1
2001,36358.4,9324.1,3575.1,23532.0,17326.7,5530.7,6795.5,16487.8,25072.2,25078.3,169080.8
2002,39437.6,8087.6,3797.5,25082.3,18260.5,5266.8,7163.5,15782.5,26534.7,26392.4,175805.4
2003,40619.2,7393.5,3977.2,28245.3,18016.6,4778.5,7705.6,18393.0,27151.3,26740.6,183020.8
2004,46243.3,7026.8,4117.3,33148.0,20146.4,5258.2,8366.2,19543.4,29200.3,27732.7,200782.6
2005,50640.8,7083.3,4189.3,36472.5,21554.9,5716.1,8842.6,20685.6,31863.1,28849.1,215897.30000000002
2006,56678.2,7639.4,4481.1,40556.3,22537.0,6061.5,9230.0,23553.2,33902.5,30443.6,235082.80000000002
2007,60045.4,9220.0,4661.0,43464.6,24683.2,6359.9,9818.1,27696.4,38929.9,31332.6,256211.1
2008,57530.4,11537.3,4754.2,45000.2,25803.6,6480.2,10452.3,28611.9,42450.6,32269.8,264890.5
2009,55142.9,14111.9,4819.8,43238.0,23521.2,6220.1,11116.8,28870.0,44158.2,34123.700000000004,265322.60000000003
2010,71506.5,15102.0,5209.4,50374.5,24961.0,7144.7,11915.9,32553.0,48009.7,38709.2,305485.9
2011,77089.5,15616.8,5328.1,54048.4,26555.0,8003.5,12767.1,34969.9,51522.0,40519.9,326420.2
2012,77335.8,17292.4,5441.8,57805.9,27892.6,8274.6,13782.9,37110.8,53855.4,41716.9,340509.10000000003
2013,78628.4,17727.6,5572.1,61331.3,28766.7,8565.7,14783.4,43656.9,56775.0,42594.8,358401.9
2014,80737.9,19280.0,5705.8,63588.8,29300.2,8756.2,15844.5,47653.8,58279.6,43928.9,373075.7
2015,76598.2,20433.8,5815.9,65584.5,30014.6,8763.0,15779.4,49874.5,63122.4,45101.2,381087.50000000006
2016,79432.7,20226.2,5917.8,65504.3,30528.1,9039.3,16505.7,50106.2,65587.8,46804.0,389652.1
2017,87698.7,17897.7,5910.7,66170.9,31861.7,9207.5,17364.2,53363.5,66092.1,48069.700000000004,403636.7
2018,93862.6,17241.3,5865.0,67313.7,32267.4,9468.2,18308.3,56467.4,67936.4,48853.7,417584.00000000006
