shopid,username,main_category,Jan_ADO,collection_slots,collection_times,collection_order,days_until_first_collection,ADO_bf_first_collection,ADO_first_collection_order,ADO_af_first_collection,ADO_uplift_first_collection,ADO_uplift_collection_factor,cfs_slots,cfs_order
135820317,xiyou123.my,Health & Beauty,0.4,608,263,31.5,24,0.43,2,44.57,102.65,67.31,2,304.75
134798720,progresssports.my,Baby & Toys,67.93,11,4,0,47,0.14,0,20.71,146.93,54.98,0,0
135131874,redappletaotao.my,Baby & Toys,2.07,68,56,1.89,27,0.43,0,31,71.09,46.62,14,320.33
141013809,yc201901.my,Baby & Toys,11.73,81,35,5.67,39,2.14,46,45.57,20.29,29.69,33,396.68
130095811,ezbuy.my,Baby & Toys,2.53,13,8,4,55,5.86,328,51,7.7,18.65,3,724.44
131678979,aorain.my,Health & Beauty,1.87,6,2,4.31,89,3.57,1,31.99,7.96,15.04,0,0
133254148,1v1.my,Baby & Toys,16.47,71,25,44.7,37,0.14,0,2.43,16.36,6.12,0,0
133240418,cnyood.my,Health & Beauty,3.67,12,6,11,84,2.14,2,7,2.27,3.32,0,0
136003534,riannesis.my,Baby & Toys,14.93,98,82,2.83,23,0.14,1,1.29,8.21,3.07,94,230.73
132890279,colour19.my,Baby & Toys,0.27,166,99,126.91,38,0.14,1,1.29,8.21,3.07,0,0
141010163,zoozen.my,Health & Beauty,2.53,66,58,3,50,0.14,0,1.29,8.21,3.07,0,0
131099847,firesky.my,Health & Beauty,2.53,55,55,0,14,0.29,1,1.86,5.41,2.92,0,0
140412440,heartywm.my,Health & Beauty,2.93,3,3,0,53,0.29,1,1.86,5.41,2.92,0,0
131211166,zeku2.my,Health & Beauty,8,548,112,540.93,32,4.57,20,10.71,1.34,2.87,2,243.7
140193877,wanpanyu.my,Groceries & Pets,15.8,35,27,21.31,56,2.57,2,7,1.72,2.76,0,0
136338638,uncle.jj.my,Baby & Toys,0.27,58,32,9.5,40,0.14,1,1.14,7.14,2.67,0,0
134516975,shelly2019320.my,Baby & Toys,0.13,135,78,7.67,30,0.29,0,1.71,4.9,2.64,2,10
137488235,rzrcjxsb.my,Baby & Toys,0.6,58,21,35.5,16,4.71,8,9.71,1.06,2.3,0,0
131872956,musesworld.my,Baby & Toys,8.6,145,59,23.28,31,0.57,2,2,2.51,1.89,0,0
131133994,sben.my,Health & Beauty,6.67,45,11,91.24,63,5.29,10,9.29,0.76,1.74,0,0
131596606,feishuo.my,Health & Beauty,1.2,37,15,5,23,0.43,0,1.57,2.65,1.74,0,0
140337832,loveduomi.my,Baby & Toys,0,7,5,0,53,0.29,0,1.14,2.93,1.58,0,0
132878385,shopeevvvip.my,Baby & Toys,51.87,67,33,2,39,0.57,1,1.71,2,1.51,119,202.67
139467716,v.young.my,Baby & Toys,2.73,80,46,12,53,0.57,0,1.71,2,1.51,10,11
140422216,xiehushu83.my,Baby & Toys,2.2,2,2,0.33,60,1.14,0,2.71,1.38,1.47,0,0
140334760,yanxingliang.my,Health & Beauty,1.87,4,2,0,74,2.43,1,4.71,0.94,1.46,0,0
134784837,southrain.my,Groceries & Pets,0.87,177,45,290.04,30,3.43,3,6,0.75,1.39,0,0
134936263,newbra003.my,Baby & Toys,1.6,11,5,0,46,0.57,4,1.57,1.75,1.32,0,0
139179146,wanlanjue.my,Health & Beauty,1.87,53,34,2,55,0.29,0,1,2.45,1.32,0,0
141116849,jcfultz.my,Baby & Toys,0,7,7,0,72,0.29,1,1,2.45,1.32,0,0
137466912,flashclick.my,Baby & Toys,0.6,5,5,0,69,1.57,7,3.14,1,1.25,0,0
140934007,gzxdyjzcl.my,Health & Beauty,4,36,36,6.83,31,5,11,7.71,0.54,1.21,0,0
132806926,xiajing666.my,Health & Beauty,2.87,54,18,12.27,25,1.14,2,2.43,1.13,1.21,0,0
139016733,kuluo2018.my,Baby & Toys,0.27,26,13,1,70,0.14,1,0.57,3.07,1.15,0,0
134809736,shirlymar.my,Groceries & Pets,12.47,87,81,11.2,29,1.43,1,2.71,0.9,1.07,0,0
133107381,salmoph0.my,Baby & Toys,1.8,43,29,3,26,0.29,0,0.86,1.97,1.06,0,0
131387476,june.aurora.my,Health & Beauty,2.33,112,80,145.06,33,2.57,4,4.14,0.61,0.98,0,0
138854748,taihuaxin2019.my,Health & Beauty,7.93,12,6,11.17,84,2.29,1,3.66,0.6,0.91,0,0
140944415,superspider1.my,Health & Beauty,83.87,256,134,616.07,31,16.86,30,20.43,0.21,0.87,36,90.33
130095741,buymorem2.my,Health & Beauty,2.33,90,69,3,22,0.43,1,1,1.33,0.87,0,0
134947120,jlelec.my,Baby & Toys,7.87,150,79,23,28,0.43,2,1,1.33,0.87,0,0
142057056,spacemall.my,Baby & Toys,2.4,11,11,0,52,0.43,0,1,1.33,0.87,0,0
133653886,zhangzhenxing.my,Health & Beauty,1.93,10,5,0,52,0.43,0,1,1.33,0.87,0,0
133425191,liguanguan.my,Baby & Toys,0.73,58,26,0,53,1.14,0,2,0.75,0.81,0,0
137014461,boarhat1.my,Baby & Toys,0.07,17,12,1,37,0.29,0,0.71,1.45,0.78,0,0
134649498,tntoo.my,Baby & Toys,1,11,7,0.2,29,0.14,0,0.43,2.07,0.78,0,0
134294081,xiami2019.my,Baby & Toys,13.87,38,16,2,32,0.14,1,0.43,2.07,0.78,0,0
133521611,sunywill.my,Health & Beauty,62.33,546,167,128.93,34,0.14,0,0.43,2.07,0.78,0,0
141116250,phoebebeauty.my,Health & Beauty,0.13,27,7,1,49,0.14,0,0.43,2.07,0.78,0,0
134735143,peppypawm1.my,Groceries & Pets,0,19,7,30.31,47,0.86,1,1.57,0.83,0.77,0,0
139259433,king2019.my,Health & Beauty,21.73,9,9,0,66,0.71,0,1.29,0.82,0.69,20,2
138951250,luckylin2019.my,Groceries & Pets,1.67,18,5,1,60,1.14,2,1.86,0.63,0.67,0,0
141582440,super_children.my,Baby & Toys,11.67,93,74,8.75,43,0.43,2,0.86,1,0.66,149,41.92
139738513,meliyichunbaby.my,Baby & Toys,0.2,7,7,0,79,0.43,0,0.86,1,0.66,0,0
139777278,motherkidzxs.my,Baby & Toys,14.6,19,11,22,79,12.71,10,14.86,0.17,0.6,24,56.5
139180394,wantengqian.my,Groceries & Pets,0.27,160,79,1.5,55,2.14,0,3,0.4,0.59,0,0
130916606,shancha.my,Health & Beauty,5.87,25,15,1,47,1,2,1.57,0.57,0.57,0,0
133526291,huayin.my,Health & Beauty,6.4,11,5,3.33,53,1,1,1.57,0.57,0.57,0,0
138134238,amazingshoping.my,Baby & Toys,1.07,48,48,5,14,0.57,0,1,0.75,0.57,0,0
134378479,neotidekor.my,Health & Beauty,27.4,151,60,34.5,32,1.14,1,1.71,0.5,0.53,0,0
137917777,muyouren.my,Baby & Toys,2.93,149,75,3.46,15,0.29,1,0.57,0.97,0.52,0,0
133104841,stayreal0.my,Baby & Toys,0.07,20,9,1,24,0.29,1,0.57,0.97,0.52,0,0
130325509,jinjiangzhaoyi.my,Baby & Toys,0,9,5,2,66,1.29,1,1.86,0.44,0.5,0,0
130095817,joommart.my,Health & Beauty,4.13,314,148,2,38,1.71,2,2.29,0.34,0.44,0,0
136601819,shieh7.my,Baby & Toys,0.73,22,10,1,22,0.14,0,0.29,1.07,0.4,0,0
136074134,leogirl123.my,Health & Beauty,2.93,18,7,0,24,0.14,0,0.29,1.07,0.4,1,23
134789527,shipsoon.my,Baby & Toys,0.07,16,8,0,30,0.14,0,0.29,1.07,0.4,0,0
131608024,maituodz.my,Health & Beauty,0.2,17,8,1,44,0.14,0,0.29,1.07,0.4,0,0
135205523,miocare.my,Health & Beauty,1.87,9,5,0,45,0.14,1,0.29,1.07,0.4,0,0
133256983,aike666_taiwan.my,Groceries & Pets,0,1328,217,6,47,0.14,0,0.29,1.07,0.4,0,0
133251137,sharonma_taiwan.my,Baby & Toys,0,529,110,2,49,0.14,0,0.29,1.07,0.4,0,0
140498568,happyfancylove.my,Baby & Toys,0.13,6,3,0,52,0.14,0,0.29,1.07,0.4,0,0
139624269,honghuang2020.my,Baby & Toys,1.2,13,10,1,52,0.57,1,0.86,0.51,0.38,0,0
131860235,littledebbie.my,Baby & Toys,0.07,220,72,64.17,42,2.43,3,3,0.23,0.37,9,966.83
133248873,geta.my,Baby & Toys,3.47,20,5,4,75,0.71,4,1,0.41,0.34,7,7
134809726,channelly.my,Baby & Toys,7.53,50,31,7.5,74,1.86,0,2.29,0.23,0.32,0,0
140591573,toychilds.my,Baby & Toys,1,95,39,24,40,3.29,5,3.86,0.17,0.31,0,0
140388477,sunnimix1.my,Health & Beauty,13.93,2,2,0,67,2,1,2.43,0.22,0.3,0,0
134504815,rickyzc.my,Health & Beauty,1.93,26,10,0,17,1,0,1.29,0.29,0.29,0,0
135434470,vip2972.my,Health & Beauty,8.6,1,1,0,25,1,1,1.29,0.29,0.29,0,0
139392515,ttkababy.my,Baby & Toys,6.87,23,9,4.5,81,1,0,1.29,0.29,0.29,0,0
137988750,zhtechnology.my,Baby & Toys,0,6,3,0,16,0.29,0,0.43,0.48,0.26,0,0
137309312,sevenfish1.my,Health & Beauty,10.93,177,59,1,18,0.29,0,0.43,0.48,0.26,0,0
132242798,chamie2018.my,Baby & Toys,11.87,90,64,2,28,0.29,0,0.43,0.48,0.26,0,0
135044281,innlike.my,Baby & Toys,3.33,52,21,1.25,29,0.29,0,0.43,0.48,0.26,0,0
134846523,liuxiaoxiaotoy.my,Baby & Toys,0.13,28,28,5,32,0.29,0,0.43,0.48,0.26,0,0
140901915,kangliang9727.my,Health & Beauty,0.33,18,7,0,50,0.29,0,0.43,0.48,0.26,0,0
139603975,yitongkejiyouxiangongsi.my,Baby & Toys,0,2,2,0,71,0.29,0,0.43,0.48,0.26,0,0
131677818,hjtyyjsgdf.my,Health & Beauty,13.4,99,33,11.33,44,1.43,0,1.71,0.2,0.23,0,0
133259879,susanamantilla.my,Health & Beauty,1.47,46,15,18,37,0.43,2,0.57,0.33,0.21,0,0
139630785,woman_clothing.my,Baby & Toys,0,7,7,0,52,0.43,2,0.57,0.33,0.21,0,0
134077414,mynailsalon.my,Health & Beauty,153.13,166,82,5.59,32,0.57,2,0.71,0.25,0.19,3,4.3
140871022,mr.tea_.my,Health & Beauty,3.27,73,28,1.5,49,0.57,1,0.71,0.25,0.19,2,1.83
139187094,myfriend.my,Baby & Toys,2.6,36,31,0,55,0.57,0,0.71,0.25,0.19,0,0
130314750,baterhu.my,Baby & Toys,1.67,203,78,104.98,35,0.86,2,1,0.16,0.15,29,116.37
131115443,uniquecherish.my,Baby & Toys,2.53,25,11,0,39,0.86,2,1,0.16,0.15,1,0
136581141,apluskis.my,Health & Beauty,20.67,54,26,42.83,39,1,2,1.14,0.14,0.14,0,0
138810225,bestchoices.my,Health & Beauty,8.07,3,3,0,63,5.57,9,5.71,0.03,0.06,0,0
132920952,shallowky.my,Baby & Toys,0.07,18,3,2,84,0.14,0,0.16,0.14,0.05,0,0
