shopid,registration_date,main_category,first_90d_ADO,first_90d_ADGMV,Jan_ADO,Jan_ADGMV,shops_under_same_gp,shops_MY_under_same_gp,percent_preferred_or_mall_shops_under_same_gp,percent_preferred_or_mall_shops_MY_under_same_gp,same_gp_MY_shop_ADO_pctile_within_main_cat_stddev,same_gp_MY_shop_ADO_pctile_within_main_cat_skewness,gp_ADO_per_shop,gp_MY_ADO_per_shop,shop_first_90d_ADO_over_GP_MY_ADO_per_shop,APT_first_90d,same_period_CB_APT,shop_APT_over_CB_APT,penalty_pt_first_90d
142019352,24/04/19,Baby & Toys,3.7,35.64583456,158.2666667,1391.704265,290,45,0.468965517,0.666666667,0.281420136,-1.901567403,70.9453202,86.17460317,0.042936084,1.766887582,2.295102586,0.769851245,1
134077414,18/03/19,Health & Beauty,0.877777778,4.83945221,153.1333333,596.8491409,0,0,NaN,NaN,,,NaN,NaN,,2.143759119,2.351721696,0.911570074,0
150647658,25/05/19,Baby & Toys,2.977777778,27.417739,86.53333333,953.1134597,0,0,NaN,NaN,,,NaN,NaN,,2.579978195,2.232114112,1.155845116,0
140944415,19/04/19,Health & Beauty,15.15555556,67.68606723,83.86666667,311.3862005,0,0,NaN,NaN,,,NaN,NaN,,1.92923789,2.299455503,0.838997705,0
150114001,24/05/19,Baby & Toys,0.477777778,3.540861441,70.8,477.4623123,0,0,NaN,NaN,,,NaN,NaN,,3.582365196,2.232017512,1.604989735,0
134798720,21/03/19,Baby & Toys,7.411111111,53.33609921,67.93333333,549.526234,0,0,NaN,NaN,,,NaN,NaN,,3.026709127,2.346509388,1.289877272,1
134378641,19/03/19,Groceries & Pets,0.966666667,19.2052554,67.73333333,1123.65284,1,0,0,NaN,,,0.714285714,NaN,,0.754022295,2.349850445,0.320880972,0
139139713,10/04/19,Health & Beauty,1.144444444,4.130808303,67.73333333,239.3756486,0,0,NaN,NaN,,,NaN,NaN,,1.794001999,2.306252453,0.777886218,0
133521611,15/03/19,Health & Beauty,3.1,14.10233317,62.33333333,275.5003171,0,0,NaN,NaN,,,NaN,NaN,,2.173386574,2.354814498,0.922954473,0
132878385,12/03/19,Baby & Toys,3.955555556,14.37920676,51.86666667,375.9872795,0,0,NaN,NaN,,,NaN,NaN,,3.142391325,2.360739479,1.331104661,0
