shopid,username,response_rate,registration_time,main_category,cmt_cnt,cmt_img_cnt,rating_cnt,rating_5,avg_rating,Jan_ADGMV,order_cnt_2020
133944022,mmolive.my,87,33:00.0,Health & Beauty,111,14,108,105,4.891891892,16.82,3.2
132945521,yxsky.my,,38:44.0,Health & Beauty,,,,,,,
134730748,zhongdagongmao.my,,40:02.0,Baby & Toys,,,,,,,
151870366,pinkcoco2011_taiwan.my,,49:58.0,Health & Beauty,,,,,,,
134784417,sweetbl.my,98,54:23.0,Health & Beauty,19,9,16,17,4.684210526,67.08666667,14.33333333
146068966,beautycare1905.my,96,09:52.0,Health & Beauty,97,16,92,92,4.87628866,19.35666667,13.93333333
136576098,yuetengweb.my,,30:57.0,Baby & Toys,,,,,,,
141811250,wanyuehu.my,,34:09.0,Baby & Toys,11,3,11,11,5,,
141387654,baichun.my,96,54:45.0,Baby & Toys,21,3,21,17,4.80952381,75.91066667,7.066666667
142384681,slion19.my,100,02:19.0,Baby & Toys,,,,,,5.945333333,0.4
149839267,annapetshop.my,,31:11.0,Groceries & Pets,,,,,,,
131596606,feishuo.my,92,56:14.0,Health & Beauty,27,4,27,24,4.888888889,21.318,1.533333333
133104972,yilicafe0.my,,03:17.0,Baby & Toys,1,0,0,0,2,,
132120236,runsoon.my,100,46:42.0,Baby & Toys,17,3,17,16,4.941176471,3.616666667,0.133333333
150347681,wanshuitongstore.my,,41:22.0,Health & Beauty,10,0,10,10,5,,
134318090,chachae2019.my,,01:08.0,Health & Beauty,,,,,,,
145809555,cozierlife.my,,13:19.0,Health & Beauty,4,0,3,3,4.25,,
133526291,huayin.my,97,23:30.0,Health & Beauty,31,13,30,28,4.870967742,279.2653333,7.666666667
137253124,nicemoodparts.my,100,54:18.0,Baby & Toys,1,0,-1,0,1,,
139667358,felix0820.my,,11:08.0,Health & Beauty,,,,,,,
148821296,aibolai981.my,97,46:50.0,Health & Beauty,,,,,,265.588,59.86666667
140213153,chen6689.my,100,04:12.0,Health & Beauty,1,0,1,1,5,65.45733333,1.466666667
