shopid,main_category,voucher_order_pct,item_rebate_order_pct,shipping_rebate_order_pct,shipping_order_pct,total_ads,ads_expen,ads_CTR,ads_ROI,ads_CPC,ads_CR,Jan_ADO,Jan_ADG
152161805,Health & Beauty,0.183333333,0.95,0.183333333,0.333333333,0,0,,,,,0.866666667,8.532346528
147367555,Health & Beauty,0,0,0,0,0,0,,,,,0,0
150145239,Groceries & Pets,0,0,0,0,0,0,,,,,0,0
141015275,Baby & Toys,0,0.666666667,0,0.333333333,0,0,,,,,0.133333333,1.228315295
133713936,Baby & Toys,0.026315789,0.789473684,0.263157895,0.197368421,9,34.54168239,0.009325745,0.762556407,0.065668598,0.009505703,0,0
145148441,Baby & Toys,0.333333333,1,0,0,2,4.341980061,0.009299161,0,0.052950976,0,0.666666667,5.036871358
141848616,Baby & Toys,0,0,0,0,0,0,,,,,0,0
134522020,Baby & Toys,0,0,0,0,0,0,,,,,0,0
151997140,Baby & Toys,0,0,0,0,0,0,,,,,0,0
134809531,Baby & Toys,0.363636364,1,0.272727273,0.272727273,0,0,,,,,0.2,0.971848512
134378479,Health & Beauty,0.130177515,1,0.763313609,0.662721893,0,0,,,,,27.4,425.7132851
147357194,Baby & Toys,0.010638298,0.978723404,0.127659574,0.053191489,0,0,,,,,1.133333333,6.845602941
145433807,Baby & Toys,0.025641026,0.897435897,0.564102564,0.615384615,29,40.84022646,0.021722708,0.784263355,0.028985257,0.008516678,5.4,43.67089131
141926821,Baby & Toys,0,0,0,0,0,0,,,,,0,0
147363488,Health & Beauty,0.125,1,0,0,0,0,,,,,0,0
135825369,Health & Beauty,0,0,0.090909091,0,0,0,,,,,0.066666667,18.29819933
139166665,Baby & Toys,0,1,0.390243902,0.414634146,0,0,,,,,0,0
134809059,Health & Beauty,0,1,0.25,0.25,0,0,,,,,0.2,0.583011777
149111463,Health & Beauty,0.194444444,0.861111111,0.277777778,0.194444444,13,89.52070095,0.017759185,0.355321888,0.036673782,0.002458009,0.666666667,9.093296646
141966588,Groceries & Pets,0,0,0,0,0,0,,,,,0,0
131387476,Health & Beauty,0.05764411,1,0.072681704,0.065162907,104,238.7121654,0.02849037,2.218146882,0.021828106,0.020848574,2.333333333,7.828968937
152236422,Baby & Toys,0,0.928571429,0.25,0.25,0,0,,,,,0.4,1.159048176
143502036,Health & Beauty,0,0,0,0,0,0,,,,,0,0
150172594,Health & Beauty,0,0.625,0.125,0.125,0,0,,,,,0,0
145793502,Health & Beauty,0.137254902,0.294117647,0.490196078,0.588235294,32,77.76833182,0.029192897,4.959180398,0.025447753,0.007198953,0.666666667,22.82083938
152044691,Baby & Toys,0.315789474,0.990712074,0.13003096,0.142414861,0,0,,,,,10.4,71.69309118
148562720,Baby & Toys,0.03030303,1,0.393939394,0.757575758,0,0,,,,,0.066666667,0.750907488
130539989,Baby & Toys,0.117647059,0.882352941,0.411764706,0.352941176,0,0,,,,,0.4,6.226903187
152254170,Baby & Toys,0,0.5,0.375,0.625,0,0,,,,,0,0
148137589,Health & Beauty,0,0,0,0,0,0,,,,,0,0
134375825,Baby & Toys,0,0,0,0,0,0,,,,,0,0
140388477,Health & Beauty,0.161904762,1,0.285714286,0.219047619,0,0,,,,,13.93333333,83.93650071
147101411,Baby & Toys,0.02484472,1,0.065217391,0.040372671,0,0,,,,,11.53333333,42.04449285
133070487,Health & Beauty,0.02484472,0.826086957,0.453416149,0.409937888,0,0,,,,,0.933333333,16.23802973
143503609,Health & Beauty,0,0,0,0,0,0,,,,,0,0
151959219,Health & Beauty,0,1,0,0,4,30.41043708,0.073546856,0.062276356,0.044590084,0.002932551,0.266666667,0.512446912
145687546,Baby & Toys,0,0,0,0.5,0,0,,,,,0,0
143701786,Health & Beauty,0,0,0,0,0,0,,,,,0,0
141715699,Baby & Toys,0,0,0,0,0,0,,,,,0,0
142455756,Health & Beauty,0,0,0,0,0,0,,,,,0,0
145953629,Health & Beauty,0,0.222222222,0,0,12,8.758851144,0.015978342,0,0.029099173,0,0,0
145955134,Baby & Toys,0.288808664,0.981949458,0.335740072,0.277978339,4,50.7229982,0.027581391,4.502764848,0.026752636,0.02742616,6.866666667,50.04022197
140741149,Groceries & Pets,0,0.333333333,0.666666667,0.666666667,0,0,,,,,0,0
150532228,Baby & Toys,0.112125163,0.989569752,0.221642764,0.249022164,29,379.0205373,0.040251175,3.75222074,0.025877008,0.013927767,6.133333333,34.48350818
139045240,Health & Beauty,0,0,0,0,0,0,,,,,0,0
141066329,Baby & Toys,0,0,0,0,0,0,,,,,0,0
141602075,Health & Beauty,0.046728972,0.990654206,0.186915888,0.205607477,0,0,,,,,0.4,1.338785807
147129160,Baby & Toys,0,0,0,0,0,0,,,,,0,0
140498568,Baby & Toys,0.137931034,1,0.275862069,0.448275862,0,0,,,,,0.133333333,2.069578254
134809006,Health & Beauty,0,1,0,0,0,0,,,,,0,0
135593026,Baby & Toys,0,0,0,0.75,0,0,,,,,14.6,161.4055288
130090824,Health & Beauty,0.142857143,1,0.142857143,0.142857143,0,0,,,,,0.733333333,3.599943613
139193039,Health & Beauty,0,0,0,0,0,0,,,,,0,0
151601934,Health & Beauty,0,1,0,0,0,0,,,,,6.8,39.32652893
135837112,Health & Beauty,0,0,0,0,0,0,,,,,0,0
143595427,Baby & Toys,0,1,0.090909091,0.045454545,0,0,,,,,0.4,5.012863083
133248293,Baby & Toys,0.130434783,1,0.043478261,0.086956522,0,0,,,,,3.133333333,19.22235573
147725516,Baby & Toys,0.166666667,0.866666667,0.266666667,0.266666667,4,29.52975098,0.02260827,0.917109747,0.06391721,0.012987013,0.933333333,7.168092482
137853054,Health & Beauty,0.139534884,0.813953488,0.279069767,0.418604651,0,0,,,,,0.4,5.88040537
151676863,Baby & Toys,0,0.555555556,0,0.555555556,0,0,,,,,0.4,28.67204549
142353268,Baby & Toys,0,0,0,0,0,0,,,,,0,0
139362737,Baby & Toys,0.11627907,0.821705426,0.170542636,0.186046512,0,0,,,,,0,0
134191728,Groceries & Pets,0.285714286,0.571428571,1,1,0,0,,,,,0,0
130897398,Health & Beauty,0,0,0,0,0,0,,,,,0,0
130236930,Baby & Toys,0,0,0,0,0,0,,,,,0,0
133248873,Baby & Toys,0.25,1,0.138888889,0.194444444,0,0,,,,,3.466666667,21.86131944
134789527,Baby & Toys,0,1,0.142857143,0.095238095,0,0,,,,,0.066666667,0.20439478
131495684,Health & Beauty,0,0,0,0,0,0,,,,,0,0
145947178,Health & Beauty,0,0,0,0,0,0,,,,,0,0
152157512,Baby & Toys,0.00990099,0.98019802,0.415841584,0.465346535,1,80.5864048,0.013648974,1.322332577,0.077264051,0.015340364,0,0
134513738,Baby & Toys,0,0,0,0,0,0,,,,,0,0
133117834,Health & Beauty,0,0,0,0,0,0,,,,,0,0
134723255,Baby & Toys,0.090909091,1,0.181818182,0.181818182,0,0,,,,,0.133333333,1.63158944
131435971,Baby & Toys,0.294117647,1,0.235294118,0.294117647,0,0,,,,,0,0
142027078,Health & Beauty,0,0,0,0,0,0,,,,,0,0
133364201,Baby & Toys,0,0,0,0,0,0,,,,,0,0
135787435,Health & Beauty,0,0,0,0,0,0,,,,,0,0
140924803,Groceries & Pets,0.010204082,1,0.091836735,0.081632653,0,0,,,,,8.533333333,50.04508852
137641563,Baby & Toys,0.018867925,0.641509434,0.150943396,0.113207547,0,0,,,,,0.2,2.147767368
148808959,Baby & Toys,0,1,0,1,0,0,,,,,0.133333333,1.700532124
141281967,Health & Beauty,0,0,0.210526316,0.105263158,0,0,,,,,0.8,10.21097921
132094692,Health & Beauty,0,1,0.153846154,0.179487179,2,9.585331572,0.041895186,0,0.034855751,0,0.066666667,0.284530511
141498113,Baby & Toys,0.090909091,1,0.590909091,0.5,0,0,,,,,0.066666667,6.609737854
145156256,Baby & Toys,0,0,0,0,0,0,,,,,0,0
141929711,Baby & Toys,0.472222222,0,0,1,0,0,,,,,0,0
151862584,Health & Beauty,0.263157895,0.421052632,0.157894737,0.210526316,0,0,,,,,0,0
141072146,Baby & Toys,0,0,0,0,0,0,,,,,0.066666667,1.541071752
139489284,Baby & Toys,0,0,0.375,0.375,0,0,,,,,0.066666667,0.721870452
140362279,Health & Beauty,0,0,0,0,0,0,,,,,0,0
140494311,Baby & Toys,0,1,0.32,0.24,0,0,,,,,0,0
133026143,Health & Beauty,0,0.571428571,0.285714286,0.285714286,31,17.52294888,0.021065013,2.47884838,0.088948979,0.015228426,0,0
134302332,Baby & Toys,0,0,0,0,0,0,,,,,0,0
130317960,Health & Beauty,0,0,0,0,0,0,,,,,0,0
139439306,Health & Beauty,0,0,0,0,0,0,,,,,0,0
146041677,Health & Beauty,0,0.357142857,0.214285714,0.071428571,0,0,,,,,0.133333333,0.92139869
149238344,Health & Beauty,0,0,0,0,0,0,,,,,0,0
139189550,Health & Beauty,0,0,0,0,0,0,,,,,0.066666667,1.589737176
139378294,Health & Beauty,0,0,0,0,0,0,,,,,2.866666667,42.13322614
134947120,Baby & Toys,0.1125,0.9875,0.175,0.2375,48,163.0813792,0.021064905,2.634412487,0.033187094,0.005698006,7.866666667,77.53423978
151876293,Health & Beauty,0,0,0,0,0,0,,,,,0,0
151045163,Groceries & Pets,0.076923077,1,0.051282051,0.064102564,0,0,,,,,3.866666667,18.47501704
133521611,Health & Beauty,0.139784946,1,0.046594982,0.021505376,20,180.3463737,0.046190218,3.976598628,0.031611985,0.039789658,62.33333333,275.5003171
142828905,Health & Beauty,0,0,0,0,0,0,,,,,0,0
140901915,Health & Beauty,0.225806452,0.903225806,0.193548387,0.129032258,0,0,,,,,0.333333333,3.644229149
148262979,Health & Beauty,0.034246575,1,0.068493151,0.068493151,7,146.4987946,0.030944309,0.402211834,0.102232236,0.037683182,19.13333333,39.52281281
131599273,Baby & Toys,0,0,0,0,0,0,,,,,0,0
141141029,Baby & Toys,0,1,1,1,0,0,,,,,0,0
131225107,Health & Beauty,0,0,0,0,0,0,,,,,0,0
135783807,Groceries & Pets,0,0,0,0,0,0,,,,,0,0
143482623,Baby & Toys,0,0.041666667,0.020833333,1,0,0,,,,,0.066666667,0.324111722
139377245,Baby & Toys,0,0,0,0,0,0,,,,,0.333333333,2.929009638
151849098,Health & Beauty,0.053763441,1,0.451612903,0.462365591,16,109.5725232,0.009885511,1.101004515,0.107635092,0.017681729,2.666666667,28.49798549
137917777,Baby & Toys,0.079096045,0.13559322,0.192090395,0.175141243,0,0,,,,,2.933333333,11.43799676
151353234,Health & Beauty,0.2,1,0.171428571,0.2,0,0,,,,,10.6,60.91824193
149207454,Health & Beauty,0,0,0,0,0,0,,,,,0,0
139717733,Baby & Toys,0.086956522,0.434782609,0,0.956521739,0,0,,,,,0,0
152172416,Health & Beauty,0.459259259,0.985185185,0.407407407,0.414814815,17,247.8174425,0.026336792,3.417393488,0.079889569,0.01579626,1,23.11915843
135795589,Baby & Toys,0.176470588,0.941176471,0.588235294,0.529411765,8,119.9102931,0.00601623,0,0.159667501,0,0.8,7.086821225
139001065,Health & Beauty,0,0,0,0,0,0,,,,,0,0
135043545,Baby & Toys,0.285714286,0.928571429,0.071428571,0.071428571,0,0,,,,,4.133333333,20.4002212
140319560,Baby & Toys,0,0,0,0,0,0,,,,,0,0
133552836,Baby & Toys,0,0.090909091,0.272727273,0.363636364,0,0,,,,,0,0
149452581,Baby & Toys,0,0,0,0,0,0,,,,,0,0
134421035,Health & Beauty,0,0,0,0,0,0,,,,,0,0
132170865,Health & Beauty,0,0,0,0,0,0,,,,,0,0
151224909,Baby & Toys,0,0.873015873,0.317460317,0.301587302,0,0,,,,,1.266666667,7.974478554
134287656,Baby & Toys,0,0,0,0,0,0,,,,,0,0
148908034,Baby & Toys,0,0,0,0,0,0,,,,,0,0
130130707,Health & Beauty,0.166666667,0.958333333,0.166666667,0.041666667,13,63.70686087,0.016036036,0.310298107,0.071580743,0.012359551,0,0
150122170,Baby & Toys,0.428571429,0.928571429,0.321428571,0.357142857,0,0,,,,,0,0
136253813,Baby & Toys,0.1,1,0.1,0.1,3,26.91468644,0.031408522,0.843467371,0.036224342,0.006729475,0.6,7.512643683
130301923,Baby & Toys,0.083333333,0.25,0.055555556,0.388888889,19,136.6465549,0.012951397,0.204221015,0.083627023,0.004895961,0.866666667,10.22022564
131710087,Baby & Toys,0,0.183206107,0.221374046,0.160305344,0,0,,,,,18.73333333,78.69085468
136249063,Health & Beauty,0,0,0,0,0,0,,,,,0,0
140388394,Baby & Toys,0,1,0,0,0,0,,,,,8.333333333,60.24536133
151663904,Baby & Toys,0,0,0,0,0,0,,,,,0,0
134176828,Groceries & Pets,0,0,1,1,0,0,,,,,0,0
130318956,Baby & Toys,0.5,1,0.5,0.5,0,0,,,,,0,0
151937907,Health & Beauty,0.5,0,1,1,0,0,,,,,0,0
133944022,Health & Beauty,0.033333333,0.994444444,0.027777778,0.027777778,24,46.89215441,0.033675025,0.979374264,0.029491921,0.037735849,2.2,6.060467438
132945521,Health & Beauty,0,0,0,0,0,0,,,,,0,0
134730748,Baby & Toys,0,0,0,0,0,0,,,,,0,0
141811250,Baby & Toys,0.315789474,0.789473684,0.421052632,0.315789474,0,0,,,,,0,0
